#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:26.40 aq:18.38 tex:952808 mv:185479 misc:593 imb:8160 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:27.18 aq:20.62 tex:185564 mv:35563 misc:6537 imb:603 pmb:3572 smb:3985 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:27.16 aq:19.42 tex:214269 mv:41016 misc:6403 imb:704 pmb:3911 smb:3545 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:27.15 aq:20.17 tex:230449 mv:41486 misc:6361 imb:725 pmb:3946 smb:3489 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:27.14 aq:20.18 tex:312821 mv:44505 misc:6098 imb:761 pmb:4388 smb:3011 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:27.14 aq:21.01 tex:364893 mv:48181 misc:5782 imb:790 pmb:5061 smb:2309 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:27.15 aq:20.64 tex:357482 mv:45748 misc:6018 imb:756 pmb:4537 smb:2867 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:27.16 aq:21.21 tex:435645 mv:50232 misc:5443 imb:991 pmb:5346 smb:1823 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:27.18 aq:21.49 tex:477459 mv:50175 misc:5438 imb:1037 pmb:5345 smb:1778 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:27.20 aq:21.57 tex:416673 mv:51007 misc:5056 imb:934 pmb:5615 smb:1611 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:27.22 aq:21.87 tex:310944 mv:44498 misc:5974 imb:756 pmb:4828 smb:2576 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:27.21 aq:20.57 tex:1287777 mv:66940 misc:971 imb:3712 pmb:4401 smb:47 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:27.21 aq:24.92 tex:125349 mv:50722 misc:7209 imb:401 pmb:4612 smb:3147 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:31.21 aq:24.82 tex:124044 mv:30470 misc:6966 imb:563 pmb:3633 smb:3964 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:34.48 aq:29.20 tex:74560 mv:26634 misc:6294 imb:389 pmb:3019 smb:4752 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:33.86 aq:28.32 tex:101772 mv:31350 misc:6406 imb:587 pmb:3439 smb:4134 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:33.76 aq:27.71 tex:117156 mv:30516 misc:6480 imb:607 pmb:3413 smb:4140 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:33.89 aq:27.72 tex:96784 mv:27861 misc:6755 imb:480 pmb:3276 smb:4404 d:- ref:0 ;
